INFO 2024-04-21 03:11:40,730 autoreload Watching for file changes with StatReloader
DEBUG 2024-04-21 03:11:40,732 autoreload Waiting for apps ready_event.
DEBUG 2024-04-21 03:11:41,077 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-04-21 03:11:41,090 autoreload Watching dir /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-04-21 03:11:41,090 autoreload Watching dir /home/joshpuglielli/Desktop/capstone/csc490-interactive-art/locale with glob **/*.mo.
DEBUG 2024-04-21 03:11:41,090 autoreload Watching dir /home/joshpuglielli/Desktop/capstone/csc490-interactive-art/server/arduino/locale with glob **/*.mo.
DEBUG 2024-04-21 03:11:41,090 autoreload Watching dir /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-04-21 03:11:41,090 autoreload Watching dir /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-04-21 03:11:41,090 autoreload Watching dir /home/joshpuglielli/Desktop/capstone/csc490-interactive-art/server/accounts/locale with glob **/*.mo.
DEBUG 2024-04-21 03:11:41,156 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-04-21 03:11:41,162 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-04-21 03:11:41,201 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/db/models/fields/mixins.py first seen with mtime 1677616943.7794454
DEBUG 2024-04-21 03:11:41,201 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1677616943.619446
DEBUG 2024-04-21 03:11:41,201 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/urllib3/util/queue.py first seen with mtime 1659110612.0
DEBUG 2024-04-21 03:11:41,201 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/brotli/__init__.py first seen with mtime 1471437879.0
DEBUG 2024-04-21 03:11:41,201 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/views/generic/edit.py first seen with mtime 1677616943.7994454
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/docutils/__init__.py first seen with mtime 1657175491.0
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/urllib3/_version.py first seen with mtime 1659110612.0
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/logging/handlers.py first seen with mtime 1661470638.0
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/core/mail/__init__.py first seen with mtime 1677616943.7634454
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/markupsafe/_speedups.cpython-39-x86_64-linux-gnu.so first seen with mtime 1709314330.881927
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/http/multipartparser.py first seen with mtime 1677616943.7874453
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/lib-dynload/_ssl.cpython-39-x86_64-linux-gnu.so first seen with mtime 1661470652.0
DEBUG 2024-04-21 03:11:41,202 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_resolver.py first seen with mtime 1712270660.8624883
